# Wing Angle Data Export
# Generated on: 2025-10-08 23:11:16
# Original time range: [11.800, 12.500] seconds
# Time normalized to start from 0
# Raw forewing points: 32
# Raw hindwing points: 30
# Interpolated forewing points: 320
# Interpolated hindwing points: 300
# Columns:
# - time: Time in seconds (normalized to start from 0)
# - forewing_angle: Forewing angle in degrees
# - hindwing_angle: Hindwing angle in degrees
# - data_type: 'raw' for original data points, 'interpolated' for smoothed curve
time,forewing_angle,hindwing_angle,data_type
0.10615271473354149,16.79224602356383,,interpolated
0.10734394648829415,,-0.2827033213762302,interpolated
0.10784599999999855,,-0.7725579350265406,raw
0.10800742633228744,18.68438836191449,,interpolated
0.10940627759197241,,-0.5733076689672021,interpolated
0.10986213793103339,20.540311741117872,,interpolated
0.11146860869565245,,-0.8511928569603354,interpolated
0.11171684952977934,22.360680872466027,,interpolated
0.11353093979933071,,-1.1264759959022717,interpolated
0.11357156112852529,24.145226215684364,,interpolated
0.11542627272727124,25.892514470249235,,interpolated
0.11559327090300897,,-1.3978291783125039,interpolated
0.11619999999999919,,-1.7722558778929738,raw
0.11728098432601719,27.60049224212659,,interpolated
0.11765560200668901,,-1.6640368720740044,interpolated
0.11913569592476492,29.26708482311506,,interpolated
0.11971793311036727,,-1.9240085664528452,interpolated
0.12099040752351087,30.890217505013155,,interpolated
0.1217802642140473,,-2.176792638155289,interpolated
0.12284511912225682,32.46781557961942,,interpolated
0.12384259531772557,,-2.421591437422293,interpolated
0.12451199999999929,,-2.5811574801154222,raw
0.12469983072100277,33.99780433873243,,interpolated
0.12590492642140383,,-2.6577775941614927,interpolated
0.12655454231974872,35.47810907415072,,interpolated
0.12796725752508387,,-2.8849115441166227,interpolated
0.12840925391849467,36.90665507767287,,interpolated
0.13002958862876213,,-3.1027473613259784,interpolated
0.13026396551724062,38.281367641097425,,interpolated
0.1320919197324404,,-3.3111845730904954,interpolated
0.13211867711598657,39.600172056222945,,interpolated
0.13286199999999937,,-3.1390050510127736,raw
0.13397338871473252,40.86099361484798,,interpolated
0.13415425083612043,,-3.5102538076766847,interpolated
0.13582810031347847,42.0617576087711,,interpolated
0.1362165819397987,,-3.700120116367111,interpolated
0.13768281191222442,43.20038932979085,,interpolated
0.13827891304347872,,-3.8810868268304035,interpolated
0.13953752351097037,44.274814069705805,,interpolated
0.14034124414715698,,-4.053599920782353,interpolated
0.14118799999999965,,-4.36428839441443,raw
0.14139223510971632,45.28295712031451,,interpolated
0.14240357525083525,,-4.218252935938246,interpolated
0.14324694670846227,46.22274377341559,,interpolated
0.14446590635451528,,-4.375792392256282,interpolated
0.14510165830721,47.09209932080754,,interpolated
0.14652823745819354,,-4.527123742472194,interpolated
0.14695636990595595,47.88894905428899,,interpolated
0.1485905685618718,,-4.673317575229318,interpolated
0.1488110815047019,48.61121826565842,,interpolated
0.1495059999999988,,-4.804307931211838,raw
0.15065289966555184,,-4.815596462641161,interpolated
0.15066579310344785,49.25683224671439,,interpolated
0.1525205047021938,49.823716289255486,,interpolated
0.1527152307692301,,-4.955312945124377,interpolated
0.15437521630093975,50.30976977620331,,interpolated
0.15477756187291014,,-5.093904809775368,interpolated
0.1562299278996857,50.71256231092093,,interpolated
0.1568398929765884,,-5.232437486929875,interpolated
0.15808463949843166,51.029199893720275,,interpolated
0.15890222408026666,,-5.371311988725283,interpolated
0.1599393510971776,51.256430491300854,,interpolated
0.1609645551839467,,-5.510145531749188,interpolated
0.16179406269592356,51.39074940262224,,interpolated
0.16302688628762496,,-5.647737295993644,interpolated
